,Unnamed: 0,Unnamed: 0.1,time_point,area,aqi,quality,primary_pollutant,pm2_5,pm2_5_24h,pm10,pm10_24h,co,co_24h,no2,no2_24h,o3,o3_24h,o3_8h,o3_8h_24h,so2,so2_24h,province
275,275,275,2018-09-07T09:00:00Z,自贡,30.0,优,,19.0,21.0,29.0,35.0,0.475,0.375,36.0,30.0,38.0,106.0,34.0,35.0,8.0,9.0,四川省
276,276,276,2018-09-07T09:00:00Z,舟山,49.0,优,,26.0,29.0,44.0,50.0,0.833,0.8,15.0,12.0,103.0,176.0,96.0,113.0,5.0,5.0,浙江省
277,277,277,2018-09-07T09:00:00Z,芜湖,54.0,良,"颗粒物(PM2.5),颗粒物(PM10)",37.0,40.0,55.0,62.0,0.875,1.0,25.0,36.0,47.0,149.0,51.0,66.0,8.0,10.0,安徽省
278,278,278,2018-09-07T09:00:00Z,苏州,72.0,良,颗粒物(PM10),51.0,50.0,92.0,86.0,1.037,0.725,56.0,32.0,38.0,234.0,63.0,92.0,10.0,7.0,江苏省
279,279,279,2018-09-07T09:00:00Z,茂名,34.0,优,,16.0,16.0,33.0,31.0,0.875,0.525,14.0,11.0,45.0,93.0,44.0,52.0,12.0,10.0,广东省
280,280,280,2018-09-07T09:00:00Z,荆州,54.0,良,颗粒物(PM10),16.0,20.0,55.0,43.0,0.8,0.967,34.0,29.0,54.0,109.0,38.0,42.0,13.0,12.0,湖北省
281,281,281,2018-09-07T09:00:00Z,荆门,69.0,良,颗粒物(PM10),30.0,22.0,85.0,56.0,0.74,0.78,37.0,30.0,35.0,87.0,47.0,52.0,9.0,9.0,湖北省
282,282,282,2018-09-07T09:00:00Z,荣成,38.0,优,,13.0,26.0,24.0,48.0,0.4,0.8,13.0,17.0,78.0,225.0,75.0,79.0,7.0,11.0,山东省
283,283,283,2018-09-07T09:00:00Z,莆田,49.0,优,,32.0,28.0,48.0,46.0,0.66,0.58,15.0,12.0,56.0,134.0,34.0,47.0,15.0,9.0,福建省
284,284,284,2018-09-07T09:00:00Z,莱州,34.0,优,,8.0,13.0,32.0,50.0,0.65,0.8,13.0,15.0,80.0,210.0,66.0,79.0,7.0,8.0,山东省
285,285,285,2018-09-07T09:00:00Z,莱芜,42.0,优,,11.0,17.0,41.0,75.0,0.7,0.6,16.0,16.0,44.0,170.0,38.0,49.0,10.0,10.0,山东省
286,286,286,2018-09-07T09:00:00Z,莱西,42.0,优,,7.0,22.0,41.0,63.0,0.4,0.55,7.0,16.0,80.0,207.0,47.0,64.0,6.0,8.0,山东省
287,287,287,2018-09-07T09:00:00Z,菏泽,67.0,良,颗粒物(PM10),11.0,14.0,81.0,80.0,0.6,0.6,27.0,25.0,47.0,197.0,45.0,59.0,15.0,10.0,山东省
288,288,288,2018-09-07T09:00:00Z,萍乡,40.0,优,,23.0,32.0,39.0,58.0,0.64,0.82,11.0,11.0,95.0,185.0,61.0,71.0,6.0,12.0,江西省
289,289,289,2018-09-07T09:00:00Z,营口,26.0,优,,11.0,21.0,15.0,32.0,0.175,0.575,13.0,21.0,59.0,94.0,50.0,53.0,4.0,5.0,辽宁省
290,290,290,2018-09-07T09:00:00Z,葫芦岛,25.0,优,,4.0,9.0,24.0,27.0,0.4,0.525,14.0,21.0,50.0,81.0,36.0,44.0,9.0,15.0,辽宁省
291,291,291,2018-09-07T09:00:00Z,蓬莱,33.0,优,,8.0,21.0,26.0,49.0,0.5,0.65,6.0,10.0,58.0,184.0,65.0,79.0,8.0,7.0,山东省
292,292,292,2018-09-07T09:00:00Z,蚌埠,55.0,良,颗粒物(PM10),12.0,31.0,58.0,57.0,0.417,0.583,29.0,28.0,43.0,140.0,56.0,63.0,13.0,13.0,安徽省
293,293,293,2018-09-07T09:00:00Z,衡水,39.0,优,,12.0,19.0,38.0,61.0,0.5329999999999999,0.3670000000000001,16.0,20.0,47.0,123.0,41.0,57.0,10.0,9.0,河北省
294,294,294,2018-09-07T09:00:00Z,衡阳,39.0,优,,19.0,31.0,33.0,54.0,0.7170000000000001,0.8170000000000001,14.0,13.0,76.0,128.0,76.0,78.0,12.0,10.0,湖南省
295,295,295,2018-09-07T09:00:00Z,衢州,83.0,良,颗粒物(PM10),58.0,41.0,114.0,77.0,0.933,0.8,52.0,33.0,37.0,165.0,33.0,54.0,23.0,11.0,浙江省
296,296,296,2018-09-07T09:00:00Z,襄阳,49.0,优,,10.0,13.0,48.0,39.0,0.575,0.6,37.0,23.0,44.0,92.0,45.0,59.0,12.0,13.0,湖北省
297,297,297,2018-09-07T09:00:00Z,西双版纳州,43.0,优,,15.0,11.0,42.0,27.0,0.75,0.55,11.0,11.0,5.0,58.0,4.0,5.0,6.0,6.0,云南省
298,298,298,2018-09-07T09:00:00Z,西宁,53.0,良,颗粒物(PM10),14.0,18.0,53.0,46.0,0.95,0.775,24.0,24.0,27.0,95.0,42.0,62.0,10.0,11.0,青海省
299,299,299,2018-09-07T09:00:00Z,西安,47.0,优,,10.0,22.0,46.0,74.0,0.625,0.767,36.0,44.0,31.0,107.0,21.0,23.0,9.0,9.0,陕西省
300,300,300,2018-09-07T09:00:00Z,许昌,76.0,良,颗粒物(PM10),23.0,19.0,100.0,81.0,0.9,0.833,37.0,30.0,41.0,146.0,37.0,63.0,18.0,13.0,河南省
301,301,301,2018-09-07T09:00:00Z,诸暨,77.0,良,臭氧8小时,20.0,57.0,19.0,87.0,0.9,1.0,15.0,15.0,116.0,205.0,131.0,176.0,5.0,8.0,浙江省
302,302,302,2018-09-07T09:00:00Z,贵港,52.0,良,颗粒物(PM10),29.0,23.0,51.0,43.0,0.85,0.65,20.0,14.0,35.0,110.0,36.0,38.0,17.0,10.0,广西壮族自治区
303,303,303,2018-09-07T09:00:00Z,贵阳,45.0,优,,14.0,16.0,26.0,33.0,0.4,0.43,13.0,11.0,80.0,98.0,88.0,90.0,5.0,4.0,贵州省
304,304,304,2018-09-07T09:00:00Z,贺州,51.0,良,颗粒物(PM10),29.0,30.0,50.0,46.0,1.0,0.7,16.0,15.0,16.0,93.0,11.0,27.0,41.0,27.0,广西壮族自治区
